Event Name or Other Category,Host Team,Speaker,Location,Event Category/Type,Date,Time start,Time end
Innovations in S3-compatible storage: What's new with ObjectScale and ECS,Events,Anahad Dhillon,Lido 3005-3106,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
Top 10 pro tips for ECS admins: Monitoring and optimization,Events,John Belliveau;Matthew Nastri,Lido 3003-3104,Breakout,5/22/2024,1:30:00 PM,2:30:00 PM
Five tips to help slash data-center cooling costs and reduce your energy bill,Events,Ty Schmitt;Kris Waters,Delfino 4101-4102,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Build custom solutions at the edge securely with OEM solutions,Events,Russ Ray,Murano 3204-3205,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Hybrid cloud for any workload: Dell APEX Cloud Platform for Microsoft Azure,Events,Kenny Lowe;Matt McSpirit,Palazzo E,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
Achieve multicloud maturity to align to your business,Events,Karl Demarrais;Matt Liebowitz;Kenny Lowe,San Polo 3403-3404,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Get your data and infrastructure AI-ready,Events,Jay Limbasiya;Steve Beckwith;Keith Bradley,Marcello 4503-4504,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Turn security into a strength by advancing cybersecurity and Zero Trust maturity,Events,Sameer Shah;Goncal Badenes,San Polo 3405-3406,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Reduce your storage TCO in the public cloud by up to 87 percent with Dell APEX Storage,Events,Ben Chused;Gabriel Lopez,Marcello 4503-4504,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
Empowering VMware users: Dell's tailored solutions for flexible IT landscapes,Events,Jason Marques;Prasad Magamalla,Murano 3204-3205,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Command your multicloud journey with Dell APEX Console,Events,Jason Fonseca;Chris Davis,Lido 3003-3104,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Harness the edge with VxRail’s common operations and Dell NativeEdge,Events,Bill Leslie;Jeremy Merrill;Gaurav Goel,Marcello 4401-4502,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
PowerFlex: Building the multicloud with software-defined infrastructure,Events,Brian Dean,Lido 3003-3104,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
A world of AI: PowerScale behind the scenes of Furiosa: A Mad Max Saga,Events,Yan Chen;Jeff Grassinger,Marcello 4401-4502,Breakout,5/21/2024,1:30:00 PM,2:30:00 PM
How we transformed our edge management and security: Five lessons from a Dell customer,Events,Ryan Fournier,San Polo 3403-3404,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
Capitalize on your edge with AI: Learn how to architect and deploy a future-ready edge,Events,Nati Shalom;Lax Mandal;Alison Biers,San Polo 3505-3506,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
Transforming cities of the future. Modernizing urban infrastructure,Events,Manminder Takhar;John Lockhart,Lido 3003-3104,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Accelerate retail innovation with Dell NativeEdge,Events,Samir Sandesara;Tom Wallen,Marcello 4503-4504,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Unleash exceptional performance and scale for block storage in the public cloud,Events,Kiruthika Gopal;Robert F. Sonders,San Polo 3503-3504,Breakout,5/21/2024,3:00:00 PM,4:00:00 PM
Improve workforce productivity and security on Day One with private core,Events,Ken Byrnes;Max Silber;Ed Fox,Murano 3304-3305,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Go from fragmented to unified with a modern security strategy,Events,Mihir Maniar;Arun Krishnamoorthy;David Hampton;Beth Wang;Mike Rich;Dave Gruber,San Polo 3405-3406,Breakout,5/22/2024,1:30:00 PM,2:30:00 PM
AI-driven PC support: Unlocking the power of automation,Events,Bruce McKee;Rohin Revelli,Murano 3304-3305,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
"Positioning edge data for fast, secure, compliant IoT outcomes",Events,Chris Bridgeman;Phil Burt;Phillip Coleman;Sam Nchinda,Murano 3304-3305,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
Manage your PC lifecycle with Dell Client Services,Events,Mike McGill;Jeffrey Cardenas;Voll Corn,Marcello 4403-4404,Breakout,5/21/2024,1:30:00 PM,2:30:00 PM
Your AI journey starts with modern and responsible PC deployment,Events,Dan Oldroyd;Jefferson Raley;Rob Brothers,Marcello 4403-4404,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
Watch data work harder with AI,Events,Bethan Williams;Travis Cain,Lido 3005-3106,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
Capitalize on the strategic power of colocation to streamline data-center operations,Events,David Mensing;,Marcello 4503-4504,Breakout,5/22/2024,3:00:00 PM,4:00:00 PM
Achieve multicloud success on your technology of choice,Events,Matt Liebowitz;Matthew Roberts;Travis Zhao,San Polo 3405-3406,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
AI at the manufacturing edge: A modern approach with Dell NativeEdge,Events,Jason Nassar;David Ursone,Palazzo D,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
Enable AI across your entire organization with private 5G,Events,Sarvesh Sharma,Palazzo D,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Shift left: Solving DevOps challenges at the edge with Dell NativeEdge,Events,Nati Shalom;Jeremy Phelps,Murano 3204-3205,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
"The best five in-house, GenAI prompts for IT professionals",Events,Justin Jones,San Polo 3503-3504,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
Can you trust your edge? Learn how to deploy Zero Trust with Dell NativeEdge,Events,Maxim Balin;Steve Kenniston,Marcello 4503-4504,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
How Dell Technologies and ExxonMobil are digitally transforming the energy industry,Events,Lalit Lopez;Travis Hamann;Dave Hedge;Ryan Smelter,San Polo 3403-3404,Breakout,5/21/2024,1:30:00 PM,2:30:00 PM
Better together: Dell NativeEdge and Microsoft Azure,Events,Ultan Kinahan;Joe Caisse,Palazzo D,Breakout,5/21/2024,3:00:00 PM,4:00:00 PM
Breakthrough innovations in client devices: Designing for circularity,Events,Katie Green;Nick Abbatiello,Marcello 4503-4504,Breakout,5/21/2024,1:30:00 PM,2:30:00 PM
Dell APEX PC-as-a-Service: Making cutting-edge tech scalable for your business,Events,James Rogers;Jefferson Raley,San Polo 3405-3406,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Scaling AI innovation with the Dell AI Factory,Events,Varun Chhabra;Ihab Tarazi ;Greg Findlen,Marcello 4401-4502,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
Dell IT Foundation for AI: What you need to know to optimize your data center and AI platform,Events,Cody Taylor;Jyeh Gan;Travis Cain,Marcello 4403-4404,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Intelligently secure and operate a modern data center for multicloud,Events,Jyeh Gan;Raj Markala,San Polo 3505-3506,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
Reinventing modern end-user experiences using data and AI,Events,JP Glick;Niamh Fitton,San Polo 3505-3506,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
How to break through multicloud barriers with a universal storage layer,Events,Bob Ganley;Robert F. Sonders;Aarti Utreja,Murano 3204-3205,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Think of your data as a product,Events,Michael Damena;Randy Zaarour,San Polo 3403-3404,Breakout,5/21/2024,3:00:00 PM,4:00:00 PM
Provide consistent multicloud operations with Dell APEX Cloud Platforms,Events,Bill Leslie;Ash McCarty,Lido 3003-3104,Breakout,5/21/2024,1:30:00 PM,2:30:00 PM
PowerProtect Data Domain: Innovations in modern cyber-resilient appliances,Events,Rich Colbert;Mandar Kulkarni,Palazzo D,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
Elevate your strategy to defend against cyber threats with PowerProtect,Events,Jim Shook;Vijay Tirumalai,San Polo 3503-3504,Breakout,5/21/2024,1:30:00 PM,2:30:00 PM
Deliver innovations and cyber resiliency with PowerProtect Data Manager,Events, Scott Waterhouse;Steve Keys,Palazzo D,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
Simplify modern data protection with PowerProtect Data Manager Appliance,Events,Frank Gagnon;Scott DeFlaminio,Palazzo D,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
Extend data-protection flexibility with enhancements in Data Protection Suite,Events,Elvin Kan;Steve Long,Palazzo E,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Strategies to enhance data resilience in multicloud environments,Events,Levi Spears;Mandar Kulkarni,San Polo 3505-3506,Breakout,5/22/2024,1:30:00 AM,2:30:00 AM
Learn how to employ data protection as-a-Service with AI-powered backup and recovery,Events,Paul Mitchell;Imran Khan,Lido 3003-3104,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
How to choose the right server for current and future AI acceleration needs,Events,Armando Acosta;Kent Draper;Jonathan Huang,Marcello 4401-4502,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
Automating IT management: The PowerEdge advantage,Events,Lori Matthews,Delfino 4101-4102,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
Help protect your enterprise from cyber attacks with PowerScale and ECS,Events,David Bigham,Delfino 4101-4102,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
Boost AI workload security with PowerEdge cyber-resilient features,Events,Armando Acosta,San Polo 3503-3504,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Addressing power and cooling challenges with PowerEdge innovations,Events,Tim Shedd,Marcello 4401-4502,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Explore new horizons on server architectures for cloud providers,Events,Justin Bandholz,Delfino 4101-4102,Breakout,5/22/2024,1:30:00 AM,2:30:00 AM
AI at the edge: Real-world use cases that can reduce risk and time to market,Events,Manya Rastogi;Steen Graham,Marcello 4401-4502,Breakout,5/21/2024,3:00:00 PM,4:00:00 PM
"Provide high availability, disaster recovery and cyber recovery with PowerMax",Events,Dave Barry;Dan McKenney;Yvonne Lucey,Lando 4203-4304,Ask the Expert,5/21/2024,3:00:00 PM,4:00:00 PM
How to shut down entire classes of cyber threats with hardware-assisted security,Events,Steven Brenner;Justin Vogt;Peter Cretiu;JR Balaji;Todd Cramer;Janani Nagarajan,Lando 4201-4302,Ask the Expert,5/21/2024,1:30:00 PM,2:30:00 PM
You’ve heard about Dell NativeEdge—now see it in action,Events,Laura Hanlon;Jeremy Merrill,Lando 4201-4302,Ask the Expert,5/20/2024,1:30:00 AM,2:30:00 AM
VFX production revolution: Leveraging AI with Dell and NVIDIA,Events,Bharat Patel;Toby Jeter;Cynthia Olivo;Yan Chen;Ken Glass,Lando 4201-4302,Ask the Expert,5/20/2024,4:30:00 PM,5:30:00 PM
Build a scalable infrastructure to support your GenAI use cases,Events,Helen O'Sullivan;Paul Wynne;Anthony Quigney,Lando 4203-4304,Ask the Expert,5/20/2024,1:30:00 AM,2:30:00 AM
Recover manufacturing OT and edge devices from ransomware attacks,Events,Eoghan Kelly;Laura Hanlon;César Soler,Lando 4203-4304,Ask the Expert,5/20/2024,12:00:00 PM,1:00:00 PM
DevOps: What it is and isn’t,Events,Laura Santamaria;Michael Wells;Andy Crews;Ian Pilcher;Paul Wynne,Lando 4203-4304,Ask the Expert,5/20/2024,4:30:00 PM,5:30:00 PM
Emerging technologies: How to prepare for what’s next,Events,David Frattura;Gwenael Poitau;Aurelian 'AD' Dumitru;Herb Kelsey;Nati Shalom,Lando 4203-4304,Ask the Expert,5/22/2024,1:30:00 AM,2:30:00 AM
What role can PowerFlex play in your multicloud strategy?,Events,James O'Connell;Chadley Hamil;Brian Dean;Steve Bisnett;Chidambara Shashikiran (SHASHI),Lando 4201-4302,Ask the Expert,5/21/2024,1:30:00 AM,2:30:00 AM
Multicloud by design: Avoid lock-in and protect technical investments with Dell APEX Cloud Platform,Events,Mike Orth;Tadhg Concannon;John Page,Lando 4201-4302,Ask the Expert,5/21/2024,12:00:00 PM,1:00:00 PM
Integrate PowerStore and Data Domain to secure your data on-prem or in multicloud environments,Events,Eoghan Kelly;Stewart Hunwick;Gerard O'Donovan;Raghav Sachdeva,Lando 4201-4302,Ask the Expert,5/22/2024,1:30:00 AM,2:30:00 AM
"Putting Dell's multicloud building blocks together: A secure, scalable and easy-to-manage approach",Events,Tadhg Concannon;Mike Orth,Lando 4201-4302,Ask the Expert,5/22/2024,12:00:00 PM,1:00:00 PM
Protecting your data and applications from ransomware attacks,Events,Keith Wier;Jim Shook;Santhi Pabbaraju;Raghav Sachdeva;Rich Colbert,Lando 4201-4302,Ask the Expert,5/20/2024,1:30:00 PM,2:30:00 PM
Supercharge your chatbot with a digital human,Events,Adam Robyak; Michael Shepherd ;Aruna Kolluru;Bharat Patel,Lando 4201-4302,Ask the Expert,5/21/2024,3:00:00 PM,4:00:00 PM
From RAG to riches,Events,Mike King;Adam Robyak,Lando 4203-4304,Ask the Expert,5/21/2024,12:00:00 PM,1:00:00 PM
Unlock the automated features of Dell SupportAssist for Business PCs to boost productivity,Events,Rohin Revelli;Emily Warren;Anthony McClure,Lando 4203-4304,Ask the Expert,5/21/2024,1:30:00 AM,2:30:00 AM
Modern apps add innovative ways to consume file- and object-storage via integration and automation,Events,Denise O' Regan;Steve Beckwith;Russ Stevenson,Lando 4203-4304,Ask the Expert,5/20/2024,1:30:00 PM,2:30:00 PM
Multicloud at your fingertips: Cloudify your infrastructure with ServiceNow and Red Hat Ansible,Events,Andrew Vella;Paul Wynne;Alberto Ramos,Lando 4201-4302,Ask the Expert,5/22/2024,1:30:00 PM,2:30:00 PM
What's new with PowerScale OneFS: The future of Dell’s unstructured data storage,Events,Tom Wilson,San Polo 3505-3506,Breakout,5/22/2024,1:30:00 PM,2:30:00 PM
Top 10 tips for PowerScale OneFS management and performance,Events,David Bigham;Tim Wright,San Polo 3505-3506,Breakout,5/22/2024,3:00:00 PM,4:00:00 PM
Tips for architecting PowerScale for AI processes,Events,Darren Miller;Scott Delandy,Marcello 4503-4504,Breakout,5/22/2024,1:30:00 AM,2:30:00 AM
"Federal IT's stop, start, continue: Accelerating innovation with GenAI",Events,Jim Kelly;John Garrett;Suri Durvasula;Dan Carroll;Paul Perez,San Polo 3403-3404,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
"Running GenAI on premises, at scale",Events,Karl Owen;Sanjeev Sharma;Anshul Ramachandran,Foyer Space,Birds of a Feather,5/20/2024,1:30:00 AM,2:30:00 AM
Understanding GenAI as a workload in a multicloud world,Events,Nick Brackney;Dave Buffo,Foyer Space,Birds of a Feather,5/20/2024,12:00:00 PM,1:00:00 PM
What are the most critical design considerations of modern edge—and how important is security?,Events,TBD,Foyer Space,Birds of a Feather,5/20/2024,1:30:00 PM,2:30:00 PM
Decoding data deluge,Events,TBD,Foyer Space,Birds of a Feather,5/20/2024,1:30:00 PM,2:30:00 PM
What does Reusable infrastructure mean to you?,Events,TBD,Foyer Space,Birds of a Feather,5/21/2024,1:30:00 AM,2:30:00 AM
Level-up your DevOps maturity,Events,TBD,Foyer Space,Birds of a Feather,5/21/2024,12:00:00 PM,1:00:00 PM
Will technology help accelerate human progress—or replace people in the modern workplace?,Events,Marc Hammons;Amy Shoemaker;Seyi Lajuwomi,Foyer Space,Birds of a Feather,5/21/2024,1:30:00 PM,2:30:00 PM
Optimizing your cloud and as-a-service strategy,Events,TBD,Foyer Space,Birds of a Feather,5/21/2024,3:00:00 PM,4:00:00 PM
Cybersecurity questions you were too afraid to ask,Events,TBD,Foyer Space,Birds of a Feather,5/22/2024,1:30:00 AM,2:30:00 AM
Zero Trust Best Practices,Events,TBD,Foyer Space,Birds of a Feather,5/22/2024,12:00:00 PM,1:00:00 PM
Circular IT: Driving sustainability and cost-efficiency,Events,TBD,Foyer Space,Birds of a Feather,5/22/2024,1:30:00 PM,2:30:00 PM
Navigating energy challenges: From efficiency to sustainability,Events,TBD,Foyer Space,Birds of a Feather,5/22/2024,3:00:00 PM,4:00:00 PM
Delivering creativity to the edge with RAG-based GenAI,Events,Vasanth Pandiaraj,Marcello 4405-4506,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Pioneering trends in Generative AI,Events,Francisco Aguirre,Marcello 4503-4504,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
5G and AI at the edge,Events,Jared Carl,San Polo 3503-3504,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Making GenAI Assisted Work a Reality,Events,Robert Gates; Dave Carlson; Matthew Roberts,TBD,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Making GenAI Assisted Work a Reality,Events,Robert Gates; Dave Carlson; Matthew Roberts,TBD,Breakout,5/22/2024,3:00:00 PM,4:00:00 PM
